"","deputy_name","deputy_state","political_party","refund_description","company_name","company_id","refund_date","refund_value"
"54","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","Pacifico Comércio e Serviços de Combustíveis Ltda",6948623000180,"2016-11-23T00:00:00",100
"55","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","Pacifico Comércio e Serviços de Combustíveis Ltda",6948623000180,"2016-01-09T00:00:00",352.95
"56","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","Pacifico Comércio e Serviços de Combustíveis Ltda",6948623000180,"2016-12-30T00:00:00",200.02
"57","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","Pacifico Comércio e Serviços de Combustíveis Ltda",6948623000180,"2016-12-28T00:00:00",110.01
"58","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","Pacifico Comércio e Serviços de Combustíveis Ltda",6948623000180,"2016-12-16T00:00:00",150
"59","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","Pacifico Comércio e Serviços de Combustíveis Ltda",6948623000180,"2016-12-12T00:00:00",100
"60","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","Pacifico Comércio e Serviços de Combustíveis Ltda",6948623000180,"2016-12-10T00:00:00",240
"61","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","POSTO KALILANDIA LTDA",15151046002000,"2016-04-26T00:00:00",60
"62","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","POSTO KALILANDIA LTDA",15151046002000,"2016-05-05T00:00:00",50
"63","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","POSTO KALILANDIA LTDA",15151046000300,"2016-03-26T00:00:00",209.71
"64","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","POSTO KALILANDIA LTDA",15151046002000,"2016-06-06T00:00:00",45
"65","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","Pacifico Comércio e Serviços de Combustíveis Ltda",6948623000180,"2016-08-06T00:00:00",120.41
"66","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","Pacifico Comércio e Serviços de Combustíveis Ltda",6948623000180,"2016-07-04T00:00:00",150
"67","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","Pacifico Comércio e Serviços de Combustíveis Ltda",6948623000180,"2016-06-30T00:00:00",205.92
"68","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","Pacifico Comércio e Serviços de Combustíveis Ltda",6948623000180,"2016-06-25T00:00:00",208.36
"69","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","Pacifico Comércio e Serviços de Combustíveis Ltda",6948623000180,"2016-06-11T00:00:00",50
"70","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","POSTO JT COMERCIO DE DERIVADOS DE PETROLEO LTDA",37128477000200,"2016-08-01T00:00:00",180.14
"71","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","POSTO JT COMERCIO DE DERIVADOS DE PETROLEO LTDA",37128477000200,"2016-12-11T00:00:00",160.02
"72","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","Pacifico Comércio e Serviços de Combustíveis Ltda",6948623000180,"2016-12-14T00:00:00",50
"73","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","CASCOL COMBUSTIVEIS PARA VEICULOS LTDA",306597003112,"2016-03-08T00:00:00",100
"74","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","POSTO KALILANDIA LTDA",15151046002000,"2016-06-13T00:00:00",164.86
"75","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","POSTO KALILANDIA LTDA",15151046002000,"2016-11-17T00:00:00",100
"76","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","POSTO KALILANDIA LTDA",15151046002000,"2016-11-07T00:00:00",40
"77","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","POSTO KALILANDIA LTDA",15151046002000,"2016-08-26T00:00:00",50
"78","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","POSTO KALILANDIA LTDA",15151046002000,"2016-08-13T00:00:00",50
"79","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","POSTO KALILANDIA LTDA",15151046002000,"2016-08-05T00:00:00",50
"80","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","POSTO KALILANDIA LTDA",15151046002000,"2016-08-03T00:00:00",253.35
"81","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","POSTO KALILANDIA LTDA",15151046002000,"2016-07-08T00:00:00",50
"82","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","POSTO KALILANDIA LTDA",15151046002000,"2016-06-21T00:00:00",50
"83","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","POSTO KALILANDIA LTDA",15151046002000,"2016-12-16T00:00:00",100
"84","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","AUTO POSTO J. RIBEIRO LTDA",11457340000200,"2016-03-26T00:00:00",136.58
"85","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","AUTO POSTO VITORIA 2 LTDA",15083067000100,"2016-06-24T00:00:00",50
"86","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","Auto Shopping Derivados de Petroleo Ltda",37063328001300,"2016-02-02T00:00:00",100
"87","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","J.A. SOBRAL & CIA LTDA",13799101000100,"2016-10-18T00:00:00",50
"88","JOSÉ CARLOS ALELUIA","BA","DEM","FUEL COSTS","J.A. SOBRAL & CIA LTDA",13799101000100,"2016-08-19T00:00:00",50
